"idd","cluster","NK_cells_resting","Monocytes","Mast_cells_resting","Macrophages_M0","T_cells_regulatory_.Tregs.","T_cells_CD4_memory_resting","Dendritic_cells_resting","Macrophages_M1","B_cells_naive","T_cells_follicular_helper","T_cells_CD8","NK_cells_activated","T_cells_CD4_naive","Dendritic_cells_activated","Eosinophils","B_cells_memory","Mast_cells_activated","T_cells_gamma_delta","T_cells_CD4_memory_activated","Neutrophils","Plasma_cells","Macrophages_M2"
"DT_14_20","TME1",-0.38708831435276,-0.734257092803477,-0.565634927432631,-0.659943257602987,-0.721840030559286,-1.10734999782404,-0.482688644194287,-1.22328168576524,0.714710839968776,-0.403733456013197,-0.472282529114179,-0.676367004397403,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,0.262400540847045,0.758176150813367,4.45892958517242,-0.0804741722674997
"DT_14_18","TME1",-0.38708831435276,-0.734257092803477,-0.198499934975971,-0.530963677181821,-0.704269972416471,-1.21864238498435,-0.166243774363461,-1.13856420668384,0.0536308942248286,-0.56849473991064,-0.129108435594017,-0.690639963909669,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,1.0757751967425,0.13023171620726,3.93740033643847,0.0745545715972857
"DT_14_24","TME1",-0.38708831435276,-0.734257092803477,-0.411459934392335,-0.323914444721866,-0.721840030559286,-1.49053591636805,-0.887904390074568,-0.893409267107977,0.503863774683176,-0.619076765063414,0.957109683521738,-0.883521456090308,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,0.100201888607606,0.236946124980501,2.57500551452296,0.702261604901971
"DT_14_12","TME1",-0.38708831435276,-0.734257092803477,-0.247968316148012,-0.659943257602987,-0.097027408315837,-0.62246129552138,-0.402051500494247,-0.89383692064334,0.290229770631882,-1.01265459188715,-0.0686514205437161,-0.816517828870675,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,0.694993089341961,1.82781045953494,2.00632886852578,0.821460369583149
"DT_14_13","TME1",-0.38708831435276,-0.734257092803477,-0.375949716395258,-0.659943257602987,-0.537553509222883,-0.945394119829353,-0.831597601283414,-0.740406593378192,0.196618178102758,0.0564242805971675,0.0451595749692658,-0.30237824932238,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,0.851489486464012,-0.260793204394025,0.77694637125448,2.62152661256907,0.220169494081589
"DT_14_07","TME1",-0.38708831435276,-0.734257092803477,-0.75786928424153,-0.659943257602987,-0.721840030559286,-1.34354105415875,-0.867520157432571,-0.716885821740799,0.847406068872795,0.268008016836653,0.115852482888587,-0.346299051131578,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,0.600734839528637,0.980194004177192,-0.260793204394025,1.36650647867468,3.03642036003971,0.105069588304309
"DT_14_22","TME1",-0.38708831435276,-0.734257092803477,-0.729353243767662,-0.659943257602987,0.786052275150649,-0.786272869767465,-0.887904390074568,-1.91127495109528,1.22048819910509,-1.01265459188715,-0.381493532744509,-1.51115453693721,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,0.275003933887451,0.262158979203305,-0.146114376125749,3.40540760516197,0.66031589567594
"DT_14_09","TME1",1.87222918049954,-0.734257092803477,-0.28847075307095,0.0272457214682273,-0.572876741930479,-0.484830118195379,-0.81876718149595,-1.49383298024079,0.187630703414445,0.144442729408855,-0.955482473886241,-1.54611313587319,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.196618582462689,0.566100046339582,1.9598458465541,1.15673022630551
"DT_14_06","TME1",1.91672449489179,-0.734257092803477,0.189932006468725,-0.523543144568417,0.644103323297149,-0.775787931615889,-0.332757767458813,-1.28397229705662,1.36875610163974,-1.01265459188715,-0.55550390758922,-1.54611313587319,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,0.73041930974118,0.312784282313908,1.21569277676229,2.71683432820784,-0.38231010108167
"DT_14_15","TME1",-0.38708831435276,-0.734257092803477,-0.294128809286603,-0.659943257602987,-0.401412106315139,-1.35637946477864,-0.758840214807591,-1.74778453792983,-0.0980657261337433,-0.507852990551836,-0.0744302480995682,-0.511269993393326,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,2.54501146042399,0.977513342405899,4.35243379508413,-0.053655931628609
